time,mean_D,std_D,cv_D,relative_contrast_D,q_amp,moran_D
164.0,0.08461241614387473,0.04763134327272853,0.562935623912882,1.1941666757896336,0.15844825833509282,-0.4999999999999999
164.5,0.08461696816221102,0.04763739209907291,0.562976825259821,1.1942540456601183,0.15847145288981349,-0.5
165.0,0.08462137284856948,0.04764324189953977,0.563016650471952,1.1943384877656078,0.15849387435432807,-0.4999999999999999
165.5,0.08462563463303714,0.04764889917124895,0.5630551472715009,1.1944201010152362,0.15851554943446572,-0.4999999999999999
166.0,0.08462975828945514,0.04765437049058687,0.5630923619986825,1.1944989807530912,0.15853650407062767,-0.5
166.5,0.08463374833551539,0.0476596622067966,0.5631283399839314,1.1945752193760046,0.15855676364652913,-0.5
167.0,0.08463760905325203,0.04766478046176587,0.5631631256475628,1.1946489063258579,0.1585763530445663,-0.5
167.5,0.08464134497606368,0.04766973146773599,0.5631967625421931,1.1947201278993436,0.15859529666900374,-0.5000000000000001
168.0,0.08464496014921201,0.047674521136739666,0.563229293896519,1.1947889680486874,0.15861361875158567,-0.4999999999999999
168.5,0.08464845878682957,0.047679155450047875,0.563260762610202,1.1948555079171705,0.15863134334811316,-0.5
169.0,0.08465184497539728,0.04768364033470727,0.563291211769404,1.1949198263594731,0.15864849462832176,-0.4999999999999999
169.5,0.08465512268235309,0.047687981699356306,0.5633206850138696,1.194981999989723,0.15866509708224766,-0.5000000000000001
170.0,0.08465829609235247,0.047692185666025934,0.563349227038532,1.1950421033129197,0.15868117580245572,-0.5
170.5,0.0846613691415999,0.047696258370203685,0.5633768843311473,1.1951002091111145,0.15869675689933546,-0.5
171.0,0.08466434606254264,0.04770020633209576,0.5634037059337706,1.1951563885478085,0.15871186792995343,-0.5000000000000002
171.5,0.08466723104341083,0.047704036356144355,0.5634297445216486,1.1952107115464694,0.15872653850586513,-0.5
172.0,0.084670028479697,0.047707755781037316,0.5634550576828629,1.1952632470654037,0.15874080101419913,-0.4999999999999999
172.5,0.08467274311318633,0.04771137270389455,0.5634797096406379,1.195314063649876,0.15875469158834876,-0.4999999999999999
