parameter,tier,multiplier,value,n_branches,branch,D_star,N_star,A_star,ASC_star,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,oscillatory
d_N,tier2,1.7782794100389228,0.1778279410038923,1,0,28.620591478722286,0.008831646920133725,0.9099610509076125,0.3459435112078553,-0.03241662566825327,-0.10016458991507948,-3.0,False
d_N,tier2,3.1622776601683795,0.316227766016838,1,0,28.747936202117174,0.008781899918282925,0.9088613949029997,0.3471570851274966,-0.032518352796471604,-0.10013874215984447,-3.0,False
d_N,tier2,5.623413251903491,0.5623413251903492,1,0,28.970588630981876,0.008695942057484264,0.9069356163824347,0.349295825278584,-0.03269985772771181,-0.1000943612232166,-3.0,False
d_N,tier2,10.0,1.0,1,0,29.355112054073395,0.008550465813614573,0.9035995754610096,0.35304178241480777,-0.033024267335830394,-0.10002012606121134,-3.0,False
d_A,tier1,0.5,0.5,1,0,0.09203851807833362,2.1572545996082684,1.4295637185524168,0.09157101179253643,0.06993458397798667,-0.1,-3.0,False
d_A,tier1,0.5946035575013605,0.5946035575013605,1,0,0.2496785533744403,0.9206150970434187,1.3916637966267131,0.09918177196371941,0.027769062405167803,-0.10000000000000031,-3.0,False
d_A,tier1,0.7071067811865476,0.7071067811865476,1,0,2.065058335324193,0.121109648877104,1.2732936348535935,0.1291025146539857,0.004612666235302622,-0.10000000000000056,-3.0,False
d_A,tier1,0.8408964152537145,0.8408964152537145,1,0,11.002050041352085,0.02295784374535743,1.0813460827351997,0.20907087507469685,-0.0069672132919183,-0.09999999999999906,-3.0,False
d_A,tier1,1.0,1.0,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
d_A,tier1,1.189207115002721,1.189207115002721,1,0,41.90024561364298,0.006038429646889941,0.7659238291467324,0.5668445943079128,-0.06214367665407668,-0.1000000000000457,-3.0,False
d_A,tier1,1.414213562373095,1.414213562373095,1,0,46.667473605376806,0.005421919671771431,0.6441023333801181,0.9176889804961361,-0.0817885855209478,-0.0999999999999824,-3.0,False
d_A,tier1,1.681792830507429,1.681792830507429,1,0,47.918546008849894,0.005280437243672327,0.5416310103715464,1.4524318739026976,-0.09184150898538662,-0.10000000000000643,-3.0,False
d_A,tier1,2.0,2.0,1,0,48.23263552823865,0.005246069229091756,0.45545714114905406,2.222577481756452,-0.0965683618079993,-0.09999999999998675,-3.0,False
d_A,tier2,0.1,0.1,1,0,0.005776393015349633,8.14221171275197,1.6931741352133929,0.055315886891122594,0.09983333351233314,-0.09156521245837743,-3.0,False
d_A,tier2,0.1778279410038923,0.1778279410038923,1,0,0.01145654171542087,6.884523285610314,1.5967242265849249,0.06588750973377068,0.12064820057944017,-0.09999999999999995,-3.0,False
